Query,Description,Target endpoint,Federated endpoints,Real world relevance or background of the query,Is this query a toy example?,Is there a Tricks to make the query executable?,Is this query similar to another query
https://sparql.uniprot.org/.well-known/sparql-examples/uniprot_identifiers_org_translation,Translate the global unique identifier for a UniProt record into other options using the identifiers.org translating endpoint.,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://sparql.api.identifiers.org/sparql",,,,
https://sparql.uniprot.org/.well-known/sparql-examples/enzymes_interacting_with_molecules_similar_to_dopamine_with_variants_related_to_disease,"Look for enzymes catalyzing reactions with molecules similar to dopamine, with natural variants related to a disease.",https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://idsm.elixir-czech.cz/sparql/endpoint/chebi",,,,
https://sparql.uniprot.org/.well-known/sparql-examples/51,Find all proteins linked to arachidonate (CHEBI:32395),https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://sparql.rhea-db.org/sparql",,,,
https://sparql.uniprot.org/.well-known/sparql-examples/45,Retrieve drugs that target human enzymes involved in sterol metabolism (federated query with WikiData and Rhea).,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://sparql.rhea-db.org/sparql, https://sparql.uniprot.org/sparql/, https://query.wikidata.org/sparql",,,,
https://sparql.uniprot.org/.well-known/sparql-examples/enzymes_interacting_with_molecules_similar_to_dopamine,Look for enzymes catalyzing reactions with molecules similar to dopamine.,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://idsm.elixir-czech.cz/sparql/endpoint/chebi",,,,
https://sparql.uniprot.org/.well-known/sparql-examples/46,Retrieve images of 'Anas' (Ducks) from the European Environmental Agency databases (federated query).,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://semantic.eea.europa.eu/sparql",,,,
https://sparql.uniprot.org/.well-known/sparql-examples/52,Retrieve drugs that target human enzymes involved in sterol metabolism (federated query with Rhea and ChEMBL via IDSM/Elixir czech republic).,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://sparql.rhea-db.org/sparql, https://sparql.uniprot.org/sparql/, https://idsm.elixir-czech.cz/sparql/endpoint/idsm",,,,
https://sparql.uniprot.org/.well-known/sparql-examples/uniprot_transporter_in_liver,"Find human transporter proteins in reviewed UniProtKB, that are expressed in the liver (Uses Bgee and UBERON).",https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://www.bgee.org/sparql",,,,
https://sparql.uniprot.org/.well-known/sparql-examples/40,Retrieve human enzymes that metabolize sphingolipids and are annotated in ChEMBL,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://sparql.rhea-db.org/sparql",,,,
https://sparql.uniprot.org/.well-known/sparql-examples/53,Find mouse homologs in OMABrowser of human enzymes that catalyze reactions involving Sterols (CHEBI:15889). Federating with Rhea-DB and OMABrowser.,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://sparql.rhea-db.org/sparql, https://sparql.uniprot.org/sparql/, https://sparql.omabrowser.org/sparql",,,,
https://sparql.uniprot.org/.well-known/sparql-examples/36,"Find the orthologous proteins for UniProtKB entry P05067 using the <a href=""http://www.orthod.org"">OrthoDB database</a>",https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://sparql.orthodb.org/sparql",,,,
https://sparql.uniprot.org/.well-known/sparql-examples/50,"Where are the human genes encoding enzymes metabolizing N-acyl
sphingosines expressed in the human body (federated query, with Rhea and Bgee)",https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://sparql.rhea-db.org/sparql, https://sparql.uniprot.org/sparql/, https://www.bgee.org/sparql",,,,
